StudentID,AssessmentItemID,Correct,Difficulty,TimeStarted,TimeTaken
Y11sa01,MMEN06S01A01T20160302012324t1,TRUE,4,20160302012305,19
Y11sa01,MMEN06S01A01T20160302012412t7,FALSE,4,20160302012330,42
Y11sa01,MMEN06S01A01T20160302012442t5,TRUE,4,20160302012415,27
Y11sa01,MMEN06S01A01T20160302012457t5,TRUE,4,20160302012444,13
Y11sa01,MMEN06S01A01T20160302012506t3,TRUE,4,20160302012458,8
Y11sa01,MMEN06S01A01T20160302012522t3,TRUE,4,20160302012507,14
Y11sa01,MMEN06S01A01T20160302012534t1,TRUE,4,20160302012531,3
Y11sa01,MMEN06S01A01T20160302012548t3,TRUE,4,20160302012535,13
Y11sa01,MMEN06S01A01T20160302012554t1,TRUE,4,20160302012549,4
Y11sa01,MMEN06S01A01T20160302012612t5,FALSE,4,20160302012555,16
Y11sa01,MMEN06S01A01T20160302012625t3,TRUE,4,20160302012615,9
Y11sa01,MMEN06S01A01T20160302012637t2,TRUE,4,20160302012626,10
Y11sa01,MMEN06S01A01T20160302012702t1,TRUE,4,20160302012657,4
Y11sa01,MMEN06S01A01T20160302012722t5,FALSE,4,20160302012711,10
Y11sa01,MMEN06S01A01T20160302012739t2,TRUE,4,20160302012735,4
Y11sa01,MMEN06S01A01T20160302012830t6,TRUE,4,20160302012740,49
Y11sa01,MMEN06S01A01T20160302012915t5,FALSE,4,20160302012831,44
Y11sa01,MMEN06S01A01T20160302012921t1,TRUE,4,20160302012918,3
Y11sa01,MMEN06S01A01T20160302012941t3,TRUE,4,20160302012922,19
Y11sa01,MMEN06S01A01T20160302012946t1,TRUE,4,20160302012942,4
Y11sa01,MMEN06S01A01T20160302012956t2,TRUE,4,20160302012947,8
Y11sa01,MMEN06S01A01T20160302013013t3,TRUE,4,20160302012957,16
Y11sa01,MMEN06S01A01T20160302013018t2,TRUE,4,20160302013014,3
Y11sa01,MMEN06S01A01T20160302013133t6,FALSE,4,20160302013019,73
Y11sa01,MMEN06S01A01T20160302013149t2,TRUE,4,20160302013139,9
Y11sa01,MMEN06S01A01T20160302013216t1,TRUE,4,20160302013150,26
